Delivery ID,Supplier ID,Supplier Name,Category,Month,Delivery Date,Scheduled Date,Lead Time Days,On Time,Days Late,Order Quantity,Defective Units,Defect Rate %,Documentation Compliant,Volume % of Total Spend
DEL00165,SUP-003,Great Lakes Dairy Supply,Raw Ingredients,2024-01,2024-01-01,2023-12-27,10,No,2,1497,16,1.13,Yes,12
DEL00263,SUP-004,Ontario Fresh Produce,Raw Ingredients,2024-01,2024-01-01,2024-01-01,18,Yes,0,3491,172,4.95,Yes,10
DEL00084,SUP-002,Maple Packaging Ltd.,Packaging,2024-01,2024-01-03,2024-01-03,8,Yes,0,3279,170,5.19,Yes,14
DEL00351,SUP-005,Westcoast Oils Inc.,Raw Ingredients,2024-01,2024-01-03,2023-12-31,8,Yes,0,2421,29,1.2,Yes,9
DEL00703,SUP-010,EcoBox Solutions,Packaging,2024-01,2024-01-03,2024-01-02,11,Yes,0,653,20,3.21,Yes,6
DEL00640,SUP-009,Northern Flavours Ltd.,Additives,2024-01,2024-01-04,2024-01-03,12,Yes,0,2485,30,1.22,Yes,9
DEL00168,SUP-003,Great Lakes Dairy Supply,Raw Ingredients,2024-01,2024-01-05,2024-01-04,11,Yes,0,6540,152,2.33,No,12
DEL00261,SUP-004,Ontario Fresh Produce,Raw Ingredients,2024-01,2024-01-06,2024-01-02,12,Yes,0,2736,85,3.11,Yes,10
DEL00637,SUP-009,Northern Flavours Ltd.,Additives,2024-01,2024-01-06,2024-01-04,9,No,5,5833,86,1.48,Yes,9
DEL00553,SUP-008,Atlantic Seafood Supply,Raw Ingredients,2024-01,2024-01-07,2024-01-02,9,Yes,0,4992,232,4.65,No,7
DEL00705,SUP-010,EcoBox Solutions,Packaging,2024-01,2024-01-07,2024-01-05,11,Yes,0,2473,34,1.38,Yes,6
DEL00164,SUP-003,Great Lakes Dairy Supply,Raw Ingredients,2024-01,2024-01-08,2024-01-04,9,Yes,0,3438,10,0.29,Yes,12
DEL00262,SUP-004,Ontario Fresh Produce,Raw Ingredients,2024-01,2024-01-08,2024-01-03,13,No,1,5996,151,2.53,Yes,10
DEL00259,SUP-004,Ontario Fresh Produce,Raw Ingredients,2024-01,2024-01-09,2024-01-07,14,Yes,0,6182,280,4.54,Yes,10
DEL00346,SUP-005,Westcoast Oils Inc.,Raw Ingredients,2024-01,2024-01-09,2024-01-07,7,Yes,0,3640,26,0.72,Yes,9
DEL00555,SUP-008,Atlantic Seafood Supply,Raw Ingredients,2024-01,2024-01-09,2024-01-08,18,Yes,0,3705,210,5.69,Yes,7
DEL00003,SUP-001,Prairie Grain Co.,Raw Ingredients,2024-01,2024-01-10,2024-01-06,7,Yes,0,3117,24,0.77,Yes,18
DEL00702,SUP-010,EcoBox Solutions,Packaging,2024-01,2024-01-10,2024-01-08,11,Yes,0,4527,137,3.05,Yes,6
DEL00090,SUP-002,Maple Packaging Ltd.,Packaging,2024-01,2024-01-11,2024-01-09,8,No,12,7261,353,4.86,Yes,14
DEL00265,SUP-004,Ontario Fresh Produce,Raw Ingredients,2024-01,2024-01-11,2024-01-11,19,Yes,0,1380,47,3.41,Yes,10
